Name,Description,imageloc,category,tags,Chromaluxe,Lerret,Storformat,SKU,Ratio
Muen i rosa,Flotte muen,https://tiboine.com/wp-content/uploads/2020/10/Muen-Tor-Ivan-Boine-7063.jpg,Landskap,"Muen, Ringebu, kveldslys, Fjell, landskap",Bilde på aluminium gir et moderne og eksklusivt uttrykk.,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid.",,7063,3:2
Melkeveien og månen,Fra Venabygdsfjellet,https://tiboine.com/wp-content/uploads/2019/10/TIB-20161010-5746.jpg,landskap,"Melkeveien, måne, Venabygdsfjellet, natt, stjerner",,,,5746,2:3
Venabygdsfjellet,silhuettene,https://tiboine.com/wp-content/uploads/2020/10/Tor-Ivan-Boine-9409.jpg,landskap,"Muen, Venabygdsfjellet, kveld, silhuett",,,,9409,2:1
