Name,Type,Size,Price,Description,Imageloc,category,tags,SKU,variationDesc
Nattvann,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Nattvann,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Nattvann,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,,,,I Nordland,https://tiboine.com/wp-content/uploads/2021/02/TIB-20150722-3977.jpg,Landskap,"solnedgang, Nord-Norge, vann, kveld, hav",3977
Gimsøya,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Gimsøya,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Gimsøya,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Gimsøya,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,,,,Et speil i Rondane,https://tiboine.com/wp-content/uploads/2015/10/Reflection-in-Doraaldalen_15-09-28-Foto-Tor-Ivan-Boine-0794.jpg,Landskap,"Rondane, speiling, fjell, morgenlys",794
Rondane,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane II,,,,En fantastisk septembermorgen,https://tiboine.com/wp-content/uploads/2015/10/Doraaldalen_15-09-28-Foto-Tor-Ivan-Boine-08101.jpg,Landskap,"Rondane, speiling, fjell, morgenlys",8101
Rondane II,Chromaluxe,30x20,895,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane II,Chromaluxe,60x40,2395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane II,Chromaluxe,75x50,3795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane II,Chromaluxe,90x60,5395,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane II,Chromaluxe,120x80,8795,,,,,,"ChromaLuxe aluminium skiller seg ut med å gi bildet en unik fargemetning, dybdefølelse og bildekvalitet sammenlignet med tradisjonelle aluminiumsbilder. Leveres med veggfeste"
Rondane II,Lerret,20x30,1095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane II,Lerret,40x60,2395,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane II,Lerret,50x75,3095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane II,Lerret,60x90,4095,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane II,Lerret,80x120,5595,,,,,,"Alle bilder blir strukket rundt kraftig treramme med 3.4cm dybde, klar til å henges på veggen. Bildet printes på Premium Satin Canvas med en semigloss overflate. Lerretene leveres med stålvaier-oppheng bak og det brukes kiler i hjørnene slik at det er mulig å etterstramme lerretet over tid."
Rondane II,FineArt smooth,20x30,295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane II,FineArt smooth,40x60,895,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane II,FineArt smooth,50x75,995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane II,FineArt smooth,60x90,1295,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
Rondane II,FineArt smooth,80x120,1995,,,,,,Papirprint for innramming. Bildene blir printet på FineArt Smooth helmatt uten struktur 300gram 
